"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-03-31,71916,"32305","FL","Tallahassee","Leon","Tallahassee",5337,90000,0.00111234705228031,0,0.0321100917431193,-0.0174881471721526,-0.0321617265640202,"2007-03","2007-Q1",131500,-0.315589353612167,"2003-12"
2016-03-31,70083,"28630","NC","Hickory","Caldwell","Granite Falls",5338,97700,-0.00102249488752556,-0.00711382113821138,0.0124352331606218,0.0287260615139855,0.00668787266581772,"2007-02","2007-Q1",99600,-0.0190763052208835,"2006-12"
2016-03-31,82058,"55038","MN","Minneapolis-St Paul","Washington","Hugo",5339,258600,0.00349243306169965,0.00976181179226865,0.0708074534161491,0.0472440805592262,-0.00518541984657506,"2006-04","2006-Q2",272700,-0.0517051705170517,"2005-03"
2016-03-31,78222,"46706","IN","Auburn","De Kalb","Auburn",5340,126800,0.00237154150197628,0.00875099443118536,0.0718512256973795,0.0244024028000893,0.00296579016059728,"2016-03","2016-Q1",126800,0,"2016-03"
2016-03-31,84308,"60045","IL","Chicago","Lake","Lake Forest",5341,793300,-0.00100742979473618,0.00050447723546475,-0.0178284016342702,0.00766066760356154,-0.0132503873481572,"2007-04","2007-Q2",918200,-0.136027009366151,"2003-11"
2016-03-31,70649,"29671","SC","Greenville","Pickens","Pickens",5342,118800,0,0,0.027681660899654,0.0149582677526128,0.0119438097904083,"2016-03","2016-Q1",118800,0,"2016-03"
2016-03-31,65395,"18235","PA","Allentown","Carbon","Mahoning Township",5343,150800,0.0006635700066357,-0.000662690523525514,-0.00527704485488127,-0.00688466573901148,-0.00889864796988904,"2007-03","2007-Q1",176500,-0.145609065155807,"2005-09"
2016-03-31,72231,"32805","FL","Orlando","Orange","Orlando",5344,68700,-0.0100864553314121,-0.0337552742616034,-0.0601915184678523,0.0406140096322352,-0.0613531088713131,"2007-09","2007-Q3",137700,-0.501089324618736,"2002-03"
2016-03-31,94468,"84108","UT","Salt Lake City","Salt Lake","Salt Lake City",5345,405400,0.00845771144278607,0.0185929648241206,0.0983473313465186,0.0149550900526758,0.0162638209098065,"2007-12","2007-Q4",458500,-0.115812431842966,"2007-01"
2016-03-31,84145,"59714","MT","Bozeman","Gallatin","Belgrade",5346,202800,0.0104633781763827,0.0278763304612266,0.0628930817610063,-0.0146220426543229,0.00988575054197804,"2009-06","2009-Q2",281100,-0.27854855923159,"2006-11"
