"zip","city","latitude","longitude","QoQ","YoY","MoM","price"
98001,"Auburn",47.303722,-122.26608,0.0308579179382842,0.143286949981196,0.0106382978723404,172
98002,"Auburn",47.304221,-122.21602,0.0478610758153325,0.141670512228888,0.019365471775855,174
98003,"Federal Way",47.311072,-122.31188,0.0420397041650448,0.12384550797649,0.0155538694992413,168
98004,"Bellevue",47.618371,-122.20308,0.02872646026173,0.124433073613211,0.0114016736401674,522
98005,"Bellevue",47.611021,-122.16858,0.00725806451612903,0.125732311852186,0.000534045393858478,344
98006,"Bellevue",47.562975,-122.1526,0.0346414073071719,0.12623361319782,0.0166201303018216,318
98007,"Bellevue",47.610935,-122.14104,0.0174429748897834,0.126724686902993,0.00721062618595825,295
98008,"Bellevue",47.609222,-122.1155,0.0211843202668891,0.108054298642534,0.0084005929830341,322
98010,"Black Diamond",47.317802,-122.01479,0.0409115870400879,0.0934525526391693,0.0163538873994638,214
98011,"Bothell",47.751471,-122.20257,0.0397775876817793,0.0869662418958194,0.0182198952879581,247
98012,"Bothell",47.84311,-122.20457,0.0228665723715229,0.117434972959052,0.00696217219772569,214
98014,"Carnation",47.648232,-121.91265,0.0188679245283019,0.0983860269732478,0.0038391594261467,256
98019,"Duvall",47.7353,-121.96222,0.00393782383419689,0.102412380518889,-0.00164880461665293,234
98020,"Edmonds",47.803668,-122.37096,0.0207839562443026,0.133400809716599,0.00683330336270455,293
98021,"Bothell",47.790653,-122.22021,0.0211946050096339,0.124469589816124,0.00675390460109751,228
98022,"Enumclaw",47.193729,-121.91915,0.0200865265760198,0.0638092168868837,0.00640243902439024,195
98023,"Federal Way",47.309021,-122.36178,0.0336134453781513,0.118588577664605,0.0111805327195002,167
98024,"Fall City",47.565642,-121.88638,0.0154011461318052,0.0994764397905759,0.00817923186344239,282
98026,"Edmonds",47.821568,-122.33651,0.0225837785332686,0.124432576769025,0.00693448110951698,229
98027,"Issaquah",47.522828,-122.02921,0.0335215243472124,0.11220808809569,0.0143722943722944,274
98028,"Kenmore",47.75287,-122.24736,0.0317591255929058,0.104171264621496,0.0119336569579288,247
98029,"Issaquah",47.572401,-122.02065,0.0243006993006993,0.110921501706485,0.00756663800515907,290
98030,"Kent",47.369098,-122.192276,0.0196399345335516,0.136032093362509,0.00483870967741936,169
98031,"Kent",47.388461,-122.19644,0.0335195530726257,0.145116918844567,0.00970285021224985,178
98032,"Kent",47.388254,-122.25932,0.0458784035807535,0.138911454102356,0.012639942217407,179
98033,"Kirkland",47.67903,-122.1934,0.0388278388278388,0.137859091638581,0.0138710138710139,384
98034,"Kirkland",47.71828,-122.19702,0.0421765734265734,0.11738519212746,0.0148967865503299,272
98036,"Lynnwood",47.808816,-122.28394,0.0195974576271186,0.117237376668601,0.00522193211488251,217
98037,"Lynnwood",47.848237,-122.28348,0.0231182795698925,0.110592354829297,0.00687830687830688,204
98038,"Maple Valley",47.381989,-122.03553,0.0292942743009321,0.112230215827338,0.0120450379680545,195
98039,"Medina",47.626571,-122.2328,0.0160744500846024,0.163522333265348,0.00652816373340391,715
98040,"Mercer Island",47.569271,-122.23233,0.0395232670230479,0.139590738783745,0.0174114418046145,447
98042,"Kent",47.363382,-122.11451,0.0267220902612827,0.103734439834025,0.0102249488752556,179
98043,"Mountlake Terrace",47.790969,-122.30539,0.0393056010481494,0.120805369127517,0.0134142446502715,223
98045,"North Bend",47.483057,-121.73254,0.0177500599664188,0.105235738473561,0.00783847980997625,245
98047,"Pacific",47.26619,-122.24463,0.0161290322580645,0.065989847715736,0.00438421681944998,163
98051,"Ravensdale",47.359414,-121.88657,0.0426673479816045,0.0373665480427046,0.0215269086357947,210
98052,"Redmond",47.677471,-122.12138,0.0265202702702703,0.106921675774135,0.0118215118215118,302
98053,"Redmond",47.640972,-122.03318,0.0274693161893629,0.0937937470835278,0.00860585197934595,294
98055,"Renton",47.467422,-122.21005,0.0303867403314917,0.154401650618982,0.00932050511124474,188
98056,"Renton",47.510739,-122.18372,0.0340686274509804,0.153677878042111,0.0119932837610938,240
98057,"Renton",47.432251,-121.803388,0.0322820037105751,0.10484511517077,0.00870195794053662,201
98058,"Renton",47.448322,-122.14584,0.0250855188141391,0.111591962905719,0.0101123595505618,193
98059,"Renton",47.493031,-122.14169,0.0299591466182478,0.0998545807077072,0.012042818911686,224
98065,"Snoqualmie",47.530639,-121.83053,0.0352056962025316,0.120530935559837,0.0133591481122943,233
98070,"Vashon",47.416198,-122.46821,0.0376075215043009,0.124918672739102,0.0156647738398277,301
98072,"Woodinville",47.758786,-122.10205,0.0286165730337079,0.111342943854325,0.0113930605903677,263
98074,"Sammamish",47.625364,-122.045347,0.0306430729391454,0.12112676056338,0.00901408450704225,287
98075,"Sammamish",47.584879,-122.033685,0.0225213890286865,0.0679369250985545,0.00668896321070234,280
98092,"Auburn",47.297285,-122.16328,0.021055753262159,0.113158745554478,0.00731421884142774,168
98101,"Seattle",47.61067,-122.33438,0.0634227490122687,0.164654976087452,0.0175089534421011,605
98102,"Seattle",47.63287,-122.32253,0.0412249705535925,0.224659432001847,0.0100933155589412,503
98103,"Seattle",47.671346,-122.34166,0.0352537946792884,0.182513049962714,0.0143930913161682,444
98104,"Seattle",47.60252,-122.32855,0.0380026513477685,0.177148584314708,0.0166630599437351,475
98105,"Seattle",47.66377,-122.30118,0.0357095796547635,0.175239234449761,0.0155038759689922,457
98106,"Seattle",47.53282,-122.35443,0.0382608695652174,0.169823644676682,0.0130090497737557,267
98107,"Seattle",47.66747,-122.37468,0.0430145130267529,0.174443788147273,0.0142832851555858,446
98108,"Seattle",47.546188,-122.31514,0.0338676318510858,0.128704487722269,0.0206738131699847,253
98109,"Seattle",47.630648,-122.34675,0.0225697529767194,0.169987799918666,0.00156657963446475,491
98110,"Bainbridge Island",47.65526,-122.53508,0.0343529411764706,0.151991614255765,0.0102650528573617,324
98112,"Seattle",47.629653,-122.29752,0.0560260586319218,0.159928443649374,0.021745981720769,527
98115,"Seattle",47.68382,-122.30122,0.0322890025575448,0.146661931818182,0.0131785378098525,393
98116,"Seattle",47.57487,-122.39392,0.0283414388730505,0.141261864879955,0.0117142385744927,405
98117,"Seattle",47.685919,-122.37838,0.0350142402412464,0.134202313199927,0.0142833689049417,409
98118,"Seattle",47.543348,-122.27496,0.0225394440270473,0.131024930747922,0.0098936433341578,272
98119,"Seattle",47.63877,-122.36694,0.00383522727272727,0.101293439301854,-0.000565690849950502,477
98121,"Seattle",47.61487,-122.34578,0.0260180995475113,0.138874937217479,0.00598935226264419,593
98122,"Seattle",47.61157,-122.30406,0.0405212424134238,0.184034125533211,0.0172774869109948,450
98125,"Seattle",47.716648,-122.30308,0.0520405959835889,0.161936560934891,0.0188205771643664,308
98126,"Seattle",47.54687,-122.3748,0.0315121287689866,0.172076249356002,0.0102131438721137,342
98133,"Seattle",47.733852,-122.34461,0.037539355776217,0.141791044776119,0.0151658767772512,279
98136,"Seattle",47.538887,-122.38803,0.0426994753030577,0.159090909090909,0.0155066079295154,365
98144,"Seattle",47.58577,-122.30081,0.0272164948453608,0.126130198915009,0.016112584132164,343
98146,"Seattle",47.501753,-122.35688,0.0566318926974665,0.19119623655914,0.0201438848920863,244
98148,"Seattle",47.443756,-122.33068,0.0431438127090301,0.169917479369842,0.0176182707993475,200
98155,"Seattle",47.753019,-122.30373,0.0407228915662651,0.125032560562647,0.0176720075400566,263
98166,"Seattle",47.458821,-122.34943,0.0334494773519164,0.11197200699825,0.0150581793292266,249
98168,"Seattle",47.491327,-122.3027,0.0475655430711611,0.150555327025915,0.018201674554059,192
98177,"Seattle",47.740886,-122.36978,0.0475790181573638,0.151968940654465,0.0151515151515152,315
98178,"Seattle",47.497971,-122.24664,0.0412728418399496,0.160463483146067,0.013182096873084,203
98188,"Seattle",47.450321,-122.27472,0.0443181818181818,0.131773399014778,0.0226261127596439,181
98198,"Seattle",47.397521,-122.315,0.0278551532033426,0.141090065713181,0.00888585099111415,192
98199,"Seattle",47.64767,-122.39758,0.0563893954271286,0.127057767135588,0.0242078063375493,416
98201,"Everett",47.986274,-122.20222,0.0293267244940107,0.096830985915493,0.0101337657073368,191
98203,"Everett",47.943468,-122.21792,0.0260720411663808,0.118967452300786,0.00876897133220911,196
98204,"Everett",47.90296,-122.25064,0.0332072299285414,0.0914742451154529,0.00986031224322103,174
98208,"Everett",47.893451,-122.19797,0.0213614354884648,0.0983154670750383,0.00786958965711074,195
98221,"Anacortes",48.495234,-122.61976,0.0178777393310265,0.0925410089755494,0.00742009132420091,224
98223,"Arlington",48.203856,-122.05288,0.0218543046357616,0.0908448214916932,0.00816726559947729,184
98225,"Bellingham",48.747578,-122.48508,0.0180091683038638,0.0889667250437828,0.0054980595084088,216
98226,"Bellingham",48.759079,-122.43597,0.0189284568495348,0.0661295736824438,0.00569981000633312,181
98229,"Bellingham",48.725417,-122.435478,0.0146417445482866,0.0489533011272142,0.00555727076258104,175
98230,"Blaine",48.961443,-122.73714,0.0129554655870445,0.059720457433291,0.00401284109149278,170
98232,"Bow",48.559548,-122.41375,0.0483242400623538,0.139186900056465,0.0133098945253641,219
98233,"Burlington",48.486892,-122.33366,0.0239520958083832,0.11816907986922,0.008,161
98236,"Clinton",47.962134,-122.40089,0.0180907319788478,0.0615206035983749,0.00688136526286815,219
98239,"Coupeville",48.204162,-122.66723,0.0260115606936416,0.0919343814080656,0.0069335014182162,191
98240,"Custer",48.931679,-122.63256,0.0162083936324168,0.0743574051407589,0.0048654836863194,166
98241,"Darrington",48.265483,-121.56075,0,-0.0434265318262939,0.00186915887850467,130
